congress,state,name,cs1,nominee,vote,presprty,sameprty,strngprs,nomid,regime_dummy,lackqual,pres,cspres1,cspres2,csnom,eucldist,interaction
97,SOUTH D,ABDNOR J,0.26100001,OCONNOR,yes,rep,same,strong,0.414999992,0,0,Reagan,0.538,-0.508,0.068558231,0.037033837,0
99,SOUTH D,ABDNOR J,0.26100001,REHNQUIST2,yes,rep,same,strong,0.045000002,0,0.60000002,Reagan,0.538,-0.508,0.40927133,0.021984385,0.013190632
99,SOUTH D,ABDNOR J,0.26100001,SCALIA,yes,rep,same,strong,0,0,0,Reagan,0.538,-0.508,0.4507094,0.035989653,0
94,SOUTH D,ABOUREZK,-0.59899998,STEVENS,yes,rep,0,weak,0.25,0,0.040000021,Ford,0.372,-0.619,0.22049785,0.67157668,0.026863081
75,COLORAD,ADAMS,-0.039000001,BLACK,yes,dem,same,strong,0.875,0,0.84000003,Roosevelt,,,-0.35503101,0.099875599,0.083895504
75,COLORAD,ADAMS,-0.039000001,REED,yes,dem,same,strong,0.725000024,0,0.125,Roosevelt,,,-0.21690412,0.031649876,0.003956235
76,COLORAD,ADAMS,-0.039000001,FRANKFURTER,yes,dem,same,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,0.015043842,0.000526534
76,COLORAD,ADAMS,-0.039000001,DOUGLAS,yes,dem,same,strong,0.730000019,0,0.18000001,Roosevelt,,,-0.22150834,0.033309292,0.005995673
76,COLORAD,ADAMS,-0.039000001,MURPHY,yes,dem,same,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.18587893,0.065057628
77,COLORAD,ADAMS,-0.039000001,STONE,yes,dem,same,strong,0.3,0,0,Roosevelt,,,0.17445554,0.045563266,0
77,COLORAD,ADAMS,-0.039000001,BYRNES,yes,dem,same,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.034532849,0.00690657
77,COLORAD,ADAMS,-0.039000001,JACKSON,yes,dem,same,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.18587893,0.015799716
102,WASHING,ADAMS,-0.40200001,THOMAS,no,rep,0,weak,0.150000006,1,0.58500004,BushI,0.492,-0.459,0.31258246,0.5106281,0.29871747
100,WASHING,ADAMS B,-0.40200001,BORK,no,rep,0,weak,0.094999999,1,0.20999998,Reagan,0.538,-0.508,0.36322901,0.58557546,0.12297083
100,WASHING,ADAMS B,-0.40200001,KENNEDY,yes,rep,0,weak,0.36500001,1,0.11000001,Reagan,0.538,-0.508,0.11460053,0.26687613,0.029356379
101,WASHING,ADAMS BROC,-0.40200001,SOUTER,no,rep,0,weak,0.324999988,1,0.23500001,BushI,0.492,-0.459,0.15143439,0.30628964,0.07197807
77,VERMONT,AIKEN,0.014,STONE,yes,dem,0,strong,0.3,0,0,Roosevelt,,,0.17445554,0.02574598,0
77,VERMONT,AIKEN,0.014,BYRNES,yes,dem,0,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.01764385,0.00352877
77,VERMONT,AIKEN,0.014,JACKSON,yes,dem,0,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.23438843,0.019923026
78,VERMONT,AIKEN,0.014,RUTLEDGE,yes,dem,0,strong,1,0,0,Roosevelt,,,-0.47013679,0.23438843,0
79,VERMONT,AIKEN,0.014,BURTON,yes,dem,0,strong,0.280000001,0,0.069999993,Truman,,,0.19287246,0.03199536,0.002239675
79,VERMONT,AIKEN,0.014,VINSON,yes,dem,0,strong,0.75,0,0.21500003,Truman,,,-0.23992525,0.064478032,0.013862779
81,VERMONT,AIKEN,0.014,MINTON,yes,dem,0,strong,0.720000029,0,0.64499998,Truman,,,-0.21229988,0.051211637,0.033031505
83,VERMONT,AIKEN,0.014,WARREN,yes,rep,same,strong,0.75,0,0.14499998,Eisenhower,0.176,-0.605,-0.23992525,0.064478032,0.009349314
84,VERMONT,AIKEN,0.014,HARLAN,yes,rep,same,weak,0.875,0,0.25,Eisenhower,0.176,-0.605,-0.35503101,0.13618389,0.034045972
85,VERMONT,AIKEN,0.014,BRENNAN,yes,rep,same,weak,1,0,0,Eisenhower,0.176,-0.605,-0.47013679,0.23438843,0
85,VERMONT,AIKEN,0.014,WHITTAKER,yes,rep,same,weak,0.5,0,0,Eisenhower,0.176,-0.605,-0.0097137,0.00056234,0
86,VERMONT,AIKEN,0.014,STEWART,yes,rep,same,weak,0.75,0,0,Eisenhower,0.176,-0.605,-0.23992525,0.064478032,0
87,VERMONT,AIKEN,0.014,WHITE,yes,dem,0,strong,0.5,0,0.5,Kennedy,-0.485,0.003,-0.0097137,0.00056234,0.00028117
87,VERMONT,AIKEN,0.014,GOLDBERG,yes,dem,0,strong,0.75,0,0.084999979,Kennedy,-0.485,0.003,-0.23992525,0.064478032,0.005480631
89,VERMONT,AIKEN,0.014,FORTAS1,yes,dem,0,strong,1,0,0,Johnson,-0.326,0.018,-0.47013679,0.23438843,0
90,VERMONT,AIKEN,0.014,MARSHAL,yes,dem,0,strong,1,0,0.16500002,Johnson,-0.326,0.018,-0.47013679,0.23438843,0.038674094
91,VERMONT,AIKEN,0.014,BURGER,yes,rep,same,weak,0.115000002,0,0.040000021,Nixon,0.378,-0.62,0.3448121,0.10943664,0.004377468
91,VERMONT,AIKEN,0.014,HAYNSWORTH,yes,rep,same,weak,0.159999996,0,0.66499996,Nixon,0.378,-0.62,0.30337402,0.083737321,0.055685315
91,VERMONT,AIKEN,0.014,CARSWELL,yes,rep,same,weak,0.039999999,0,0.88999999,Nixon,0.378,-0.62,0.41387555,0.15990046,0.14231141
91,VERMONT,AIKEN,0.014,BLACKMUN,yes,rep,same,weak,0.115000002,0,0.029999971,Nixon,0.378,-0.62,0.3448121,0.10943664,0.003283096
92,VERMONT,AIKEN G,0.014,POWELL,yes,rep,same,weak,0.165000007,0,0,Nixon,0.378,-0.62,0.29876977,0.081093825,0
92,VERMONT,AIKEN G,0.014,REHNQUIST1,yes,rep,same,weak,0.045000002,0,0.11500001,Nixon,0.378,-0.62,0.40927133,0.15623942,0.017967535
101,HAWAII,AKAKA,-0.382,SOUTER,no,rep,0,weak,0.324999988,1,0.23500001,BushI,0.492,-0.459,0.15143439,0.28455225,0.06686978
102,HAWAII,AKAKA,-0.382,THOMAS,no,rep,0,weak,0.150000006,1,0.58500004,BushI,0.492,-0.459,0.31258246,0.48244479,0.28223023
103,HAWAII,AKAKA,-0.382,GINSBURG,yes,dem,same,strong,0.680000007,1,0,Clinton,-0.377,-0.101,-0.17546602,0.042656288,0
103,HAWAII,AKAKA,-0.382,BREYER,yes,dem,same,strong,0.474999994,1,0.45499998,Clinton,-0.377,-0.101,0.013307461,0.15626799,0.071101934
109,HAWAII,AKAKA,-0.389,ROBERTS,no,rep,0,strong,0.119999997,1,0.029999999,BushII,0.486,-0.291,0.34020784,0.53174406,0.015952321
109,HAWAII,AKAKA,,ALITO,no,rep,0,strong,0.1,1,0.19,BushII,0.486,-0.291,,,
111,HAWAII,AKAKA,,SOTOMAYOR,yes,dem,same,strong,0.78,1,0.19,Obama,-0.294,-0.313,,,
111,HAWAII,AKAKA,,KAGAN,yes,dem,same,strong,0.73,1,0.27,Obama,-0.294,-0.313,,,
109,TENNESS,ALEXANDER,0.31999999,ROBERTS,yes,rep,same,strong,0.119999997,1,0.029999999,BushII,0.486,-0.291,0.34020784,0.000408357,1.23E-05
